Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hair-oil-treatment,Miracle Hair Oil,<p>Lightweight hair oil that tames frizz and adds brilliant shine. Heat protectant up to 230C.</p>,Botanical Bliss,Hair Care,"hair, oil, treatment, shine",TRUE,Title,Default Title,,,,,BB-HRO-001,120,shopify,35,deny,manual,28.00,35.00,TRUE,TRUE,,https://images.unsplash.com/photo-1527799820374-dcf8d9d4a388?w=800,1,Hair oil bottle,FALSE,,,,,,,new,,,,,,,,g,,7.00,active
sheet-mask-set,Hydrating Sheet Mask Set,<p>Set of 5 hydrating sheet masks with hyaluronic acid. Instant boost of moisture for tired dehydrated skin.</p>,Pure Beauty,Masks,"skincare, masks, sheet, hydrating",TRUE,Title,Default Title,,,,,PB-SHT-001,100,shopify,45,deny,manual,24.00,30.00,TRUE,TRUE,,https://images.unsplash.com/photo-1596755389378-c31d21fd1273?w=800,1,Sheet mask box,FALSE,,,,,,,new,,,,,,,,g,,6.00,active
makeup-brush-set,Essential Brush Set,<p>Complete set of 8 professional makeup brushes with synthetic bristles. Includes face and eye brushes in a stylish pouch.</p>,Glow Lab,Tools,"makeup, brushes, set, professional",TRUE,Title,Default Title,,,,,GL-BRS-001,180,shopify,25,deny,manual,58.00,72.00,TRUE,TRUE,,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=800,1,Makeup brush set,FALSE,,,,,,,new,,,,,,,,g,,14.50,active
setting-spray,Dewy Setting Spray,<p>Long-lasting setting spray that locks in makeup with a natural dewy finish. Keeps makeup fresh for up to 16 hours.</p>,Pure Beauty,Makeup,"makeup, setting, spray, dewy",TRUE,Title,Default Title,,,,,PB-SET-001,140,shopify,40,deny,manual,26.00,32.00,TRUE,TRUE,,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=800,1,Setting spray bottle,FALSE,,,,,,,new,,,,,,,,g,,6.50,active
gua-sha-tool,Rose Quartz Gua Sha,<p>Traditional gua sha sculpting tool in genuine rose quartz. Lifts firms and promotes circulation for a natural glow.</p>,Glow Lab,Tools,"skincare, tools, gua sha, massage",TRUE,Title,Default Title,,,,,GL-GUA-001,80,shopify,30,deny,manual,38.00,48.00,TRUE,TRUE,,https://images.unsplash.com/photo-1608248597279-f99d160bfcbc?w=800,1,Rose quartz gua sha,FALSE,,,,,,,new,,,,,,,,g,,9.50,active
tinted-moisturizer,Skin Tint Moisturizer,<p>Lightweight tinted moisturizer with SPF 30. Evens skin tone while providing hydration and sun protection.</p>,Glow Lab,Makeup,"makeup, tinted moisturizer, base, spf",TRUE,Shade,Fair,,,,,GL-TNT-001,45,shopify,25,deny,manual,42.00,52.00,TRUE,TRUE,,https://images.unsplash.com/photo-1631729371254-42c2892f0e6e?w=800,1,Tinted moisturizer tube,FALSE,,,,,,,new,,,,,,,,g,,10.50,active
tinted-moisturizer,,,,,,,,Light,,,,,GL-TNT-002,45,shopify,30,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.50,active
tinted-moisturizer,,,,,,,,Medium,,,,,GL-TNT-003,45,shopify,35,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.50,active
tinted-moisturizer,,,,,,,,Tan,,,,,GL-TNT-004,45,shopify,20,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.50,active
tinted-moisturizer,,,,,,,,Deep,,,,,GL-TNT-005,45,shopify,15,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.50,active
