Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
leather-card-holder,Leather Card Holder,<p>Slim card holder in saffiano leather. Holds up to 6 cards with center pocket for folded bills.</p>,Atelier Cuir,Card Holders,"accessories, card holders, leather, slim",TRUE,Color,Black,,,,,AC-CRD-001-BK,45,,30,deny,manual,125.00,155.00,TRUE,TRUE,,https://images.unsplash.com/photo-1606503825008-909a67e63c3d?w=800,1,Black leather card holder,FALSE,,,,,,,new,,,,,,,,g,,31.00,active
leather-card-holder,,,,,,,,Tan,,,,,AC-CRD-001-TN,45,,25,deny,manual,125.00,155.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,31.00,active
gold-chain-necklace,18K Gold Chain Necklace,<p>Classic curb chain necklace in 18K gold vermeil over sterling silver. Timeless design for everyday elegance.</p>,Maison Bijoux,Necklaces,"jewelry, necklaces, gold, chain",TRUE,Length,45cm,,,,,MB-NCK-001-45,35,,15,deny,manual,195.00,245.00,TRUE,TRUE,,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800,1,18K gold curb chain necklace,FALSE,,,,,,,new,,,,,,,,g,,49.00,active
gold-chain-necklace,,,,,,,,50cm,,,,,MB-NCK-001-50,40,,12,deny,manual,215.00,265.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,54.00,active
cashmere-scarf,Cashmere Travel Scarf,<p>Ultra-soft cashmere scarf in generous dimensions. Perfect for travel or adding luxurious warmth. 100% Mongolian cashmere.</p>,Maison Noir,Scarves,"accessories, scarves, cashmere, luxury",TRUE,Color,Charcoal,,,,,MN-SCF-001-CH,180,,12,deny,manual,285.00,355.00,TRUE,TRUE,,https://images.unsplash.com/photo-1584736286279-75260e76eb21?w=800,1,Charcoal cashmere scarf,FALSE,,,,,,,new,,,,,,,,g,,71.00,active
cashmere-scarf,,,,,,,,Camel,,,,,MN-SCF-001-CM,180,,10,deny,manual,285.00,355.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,71.00,active
leather-document-bag,Leather Document Bag,<p>Structured document bag in vegetable-tanned leather. Fits laptops up to 15 inches with padded interior.</p>,Atelier Cuir,Bags,"bags, briefcase, leather, professional",TRUE,Color,Black,,,,,AC-DOC-001-BK,1400,,8,deny,manual,485.00,605.00,TRUE,TRUE,,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800,1,Black leather document bag,FALSE,,,,,,,new,,,,,,,,g,,121.00,active
leather-document-bag,,,,,,,,Cognac,,,,,AC-DOC-001-CG,1400,,6,deny,manual,485.00,605.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,121.00,active
signet-ring,Sterling Silver Signet Ring,<p>Classic signet ring in polished sterling silver. Bold yet refined design suitable for everyday wear.</p>,Maison Bijoux,Rings,"jewelry, rings, silver, signet",TRUE,Size,S (7),,,,,MB-RNG-001-S,25,,12,deny,manual,165.00,205.00,TRUE,TRUE,,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800,1,Sterling silver signet ring,FALSE,,,,,,,new,,,,,,,,g,,41.00,active
signet-ring,,,,,,,,M (9),,,,,MB-RNG-001-M,28,,15,deny,manual,165.00,205.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,41.00,active
signet-ring,,,,,,,,L (11),,,,,MB-RNG-001-L,32,,10,deny,manual,165.00,205.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,41.00,active
leather-belt,Italian Leather Belt,<p>Dress belt in hand-stitched Italian leather. Solid brass buckle with brushed finish. 35mm width.</p>,Atelier Cuir,Belts,"accessories, belts, leather, dress",TRUE,Size,32,Color,Black,,,AC-BLT-001-32-BK,150,,10,deny,manual,145.00,180.00,TRUE,TRUE,,https://images.unsplash.com/photo-1624222247344-550fb60583dc?w=800,1,Black Italian leather belt,FALSE,,,,,,,new,,,,,,,,g,,36.00,active
leather-belt,,,,,,,,34,,Black,,,AC-BLT-001-34-BK,150,,12,deny,manual,145.00,180.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,36.00,active
leather-belt,,,,,,,,36,,Black,,,AC-BLT-001-36-BK,150,,15,deny,manual,145.00,180.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,36.00,active
leather-belt,,,,,,,,34,,Brown,,,AC-BLT-001-34-BR,150,,10,deny,manual,145.00,180.00,TRUE,TRUE,,https://images.unsplash.com/photo-1585856331428-5d14e67f1c43?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,36.00,active
aviator-sunglasses,Classic Aviator Sunglasses,<p>Timeless aviator sunglasses with polarized lenses. Titanium frame with adjustable nose pads. 100% UV protection.</p>,Maison Optique,Sunglasses,"accessories, sunglasses, aviator, polarized",TRUE,Lens,Grey,,,,,MO-AVT-001-GR,40,,20,deny,manual,225.00,280.00,TRUE,TRUE,,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800,1,Classic aviator sunglasses,FALSE,,,,,,,new,,,,,,,,g,,56.00,active
aviator-sunglasses,,,,,,,,Brown Gradient,,,,,MO-AVT-001-BR,40,,15,deny,manual,225.00,280.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,56.00,active
luxury-candle,Luxury Scented Candle,<p>Hand-poured candle with complex fragrance notes of leather and sandalwood. 60-hour burn time in heavy glass vessel.</p>,Maison Noir,Candles,"home, candles, luxury, scented",TRUE,Scent,Leather & Tobacco,,,,,MN-CND-001-LT,450,,18,deny,manual,68.00,85.00,TRUE,TRUE,,https://images.unsplash.com/photo-1602607034180-7b819bebe47b?w=800,1,Luxury scented candle,FALSE,,,,,,,new,,,,,,,,g,,17.00,active
luxury-candle,,,,,,,,Oud & Rose,,,,,MN-CND-001-OR,450,,15,deny,manual,68.00,85.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,17.00,active
cufflinks,Sterling Silver Cufflinks,<p>Elegant cufflinks in polished sterling silver. Classic round design with subtle engraved pattern. Comes in presentation box.</p>,Maison Bijoux,Cufflinks,"accessories, cufflinks, silver, formal",TRUE,Title,Default Title,,,,,MB-CFL-001,30,,20,deny,manual,145.00,180.00,TRUE,TRUE,,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=800,1,Sterling silver cufflinks,FALSE,,,,,,,new,,,,,,,,g,,36.00,active
leather-gloves,Leather Driving Gloves,<p>Unlined leather driving gloves with perforated details. Snap closure at wrist for secure fit.</p>,Atelier Cuir,Gloves,"accessories, gloves, leather, driving",TRUE,Size,S,,,,,AC-GLV-001-S,65,,10,deny,manual,165.00,205.00,TRUE,TRUE,,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800,1,Leather driving gloves,FALSE,,,,,,,new,,,,,,,,g,,41.00,active
leather-gloves,,,,,,,,M,,,,,AC-GLV-001-M,70,,15,deny,manual,165.00,205.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,41.00,active
leather-gloves,,,,,,,,L,,,,,AC-GLV-001-L,75,,12,deny,manual,165.00,205.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,41.00,active
tie-bar,Gold Tie Bar,<p>Minimalist tie bar in 18K gold-plated brass. Subtle brushed texture adds refined detail. 5.5cm length.</p>,Maison Bijoux,Tie Accessories,"accessories, tie bar, gold, formal",TRUE,Title,Default Title,,,,,MB-TIE-001,15,,30,deny,manual,58.00,72.00,TRUE,TRUE,,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=800,1,Gold tie bar,FALSE,,,,,,,new,,,,,,,,g,,14.50,active
watch-case,Leather Travel Watch Case,<p>Roll-style watch case in supple leather. Holds 3 watches with cushioned interior and snap closure.</p>,Maison Temps,Watch Accessories,"accessories, watch case, leather, travel",TRUE,Color,Black,,,,,MT-WCS-001-BK,180,,15,deny,manual,125.00,155.00,TRUE,TRUE,,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=800,1,Leather travel watch case,FALSE,,,,,,,new,,,,,,,,g,,31.00,active
watch-case,,,,,,,,Brown,,,,,MT-WCS-001-BR,180,,12,deny,manual,125.00,155.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,31.00,active
leather-keychain,Leather Keychain,<p>Handcrafted leather keychain with solid brass hardware. Features removable key ring for easy access.</p>,Atelier Cuir,Keychains,"accessories, keychains, leather, gifts",TRUE,Color,Black,,,,,AC-KEY-001-BK,35,,40,deny,manual,48.00,60.00,TRUE,TRUE,,https://images.unsplash.com/photo-1622434641406-a158f7b6b3b1?w=800,1,Black leather keychain,FALSE,,,,,,,new,,,,,,,,g,,12.00,active
leather-keychain,,,,,,,,Tan,,,,,AC-KEY-001-TN,35,,35,deny,manual,48.00,60.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,12.00,active
dress-watch,Dress Watch,<p>Ultra-thin dress watch with Swiss quartz movement. Minimalist dial with Roman numerals on polished steel case. 38mm diameter.</p>,Maison Temps,Watches,"watches, dress, thin, elegant",TRUE,Dial,White,Strap,Black Leather,,,MT-DRS-001-WH-BK,95,,8,deny,manual,395.00,495.00,TRUE,TRUE,,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=800,1,White dial dress watch,FALSE,,,,,,,new,,,,,,,,g,,99.00,active
dress-watch,,,,,,,,Black,,Black Leather,,,MT-DRS-001-BK-BK,95,,6,deny,manual,395.00,495.00,TRUE,TRUE,,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,99.00,active
dress-watch,,,,,,,,White,,Brown Leather,,,MT-DRS-001-WH-BR,95,,5,deny,manual,395.00,495.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,99.00,active
