Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
snapback-cap,Classic Snapback Cap,<p>Structured snapback cap with embroidered logo. Adjustable snap closure fits most head sizes.</p>,Street Collective,Caps,"accessories, caps, snapback, headwear",TRUE,Color,Black,,,,,SC-CAP-001-BK,120,,40,deny,manual,38.00,48.00,TRUE,TRUE,,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,1,Black snapback cap,FALSE,,,,,,,new,,,,,,,,g,,9.50,active
snapback-cap,,,,,,,,Navy,,,,,SC-CAP-001-NV,120,,35,deny,manual,38.00,48.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,9.50,active
cargo-joggers,Tech Cargo Joggers,<p>Functional cargo joggers with multiple pockets. Water-resistant fabric with tapered fit.</p>,Street Collective,Pants,"streetwear, pants, cargo, joggers",TRUE,Size,M,Color,Black,,,SC-JOG-001-M-BK,350,,18,deny,manual,98.00,122.00,TRUE,TRUE,,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=800,1,Black tech cargo joggers,FALSE,,,,,,,new,,,,,,,,g,,24.50,active
cargo-joggers,,,,,,,,L,,Black,,,SC-JOG-001-L-BK,350,,22,deny,manual,98.00,122.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,24.50,active
cargo-joggers,,,,,,,,XL,,Black,,,SC-JOG-001-XL-BK,350,,15,deny,manual,98.00,122.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,24.50,active
cargo-joggers,,,,,,,,L,,Olive,,,SC-JOG-001-L-OL,350,,18,deny,manual,98.00,122.00,TRUE,TRUE,,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,24.50,active
crossbody-bag,Urban Crossbody Bag,<p>Compact crossbody bag with adjustable strap. Multiple compartments for organized storage on the go.</p>,Street Collective,Bags,"accessories, bags, crossbody, urban",TRUE,Color,Black,,,,,SC-BAG-001-BK,220,,30,deny,manual,58.00,72.00,TRUE,TRUE,,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800,1,Black crossbody bag,FALSE,,,,,,,new,,,,,,,,g,,14.50,active
crossbody-bag,,,,,,,,Grey,,,,,SC-BAG-001-GR,220,,25,deny,manual,58.00,72.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,14.50,active
graphic-tee,Graphic Print Tee,<p>Oversized graphic tee with front print. Heavy cotton for a premium feel and lasting durability. 240 GSM.</p>,Street Collective,T-Shirts,"streetwear, tees, graphic, oversized",TRUE,Size,M,Color,White,,,SC-TEE-001-M-WH,280,,25,deny,manual,48.00,60.00,TRUE,TRUE,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,1,White oversized graphic tee,FALSE,,,,,,,new,,,,,,,,g,,12.00,active
graphic-tee,,,,,,,,L,,White,,,SC-TEE-001-L-WH,280,,30,deny,manual,48.00,60.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,12.00,active
graphic-tee,,,,,,,,L,,Black,,,SC-TEE-001-L-BK,280,,25,deny,manual,48.00,60.00,TRUE,TRUE,,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,12.00,active
performance-shorts,Performance Training Shorts,<p>Lightweight training shorts with built-in liner. Quick-dry fabric keeps you cool during intense workouts.</p>,Velocity,Shorts,"athletic, shorts, training, performance",TRUE,Size,M,,,,,VL-SHT-001-M,180,,22,deny,manual,52.00,65.00,TRUE,TRUE,,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,1,Performance training shorts,FALSE,,,,,,,new,,,,,,,,g,,13.00,active
performance-shorts,,,,,,,,L,,,,,VL-SHT-001-L,180,,25,deny,manual,52.00,65.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,13.00,active
performance-shorts,,,,,,,,XL,,,,,VL-SHT-001-XL,180,,18,deny,manual,52.00,65.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,13.00,active
track-jacket,Retro Track Jacket,<p>Classic track jacket with contrast stripes. Lightweight and perfect for layering or post-workout.</p>,Velocity,Jackets,"athletic, jackets, track, retro",TRUE,Size,M,,,,,VL-TRK-001-M,320,,15,deny,manual,78.00,98.00,TRUE,TRUE,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,1,Retro track jacket,FALSE,,,,,,,new,,,,,,,,g,,19.50,active
track-jacket,,,,,,,,L,,,,,VL-TRK-001-L,320,,18,deny,manual,78.00,98.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,19.50,active
track-jacket,,,,,,,,XL,,,,,VL-TRK-001-XL,320,,12,deny,manual,78.00,98.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,19.50,active
gym-duffel,Training Duffel Bag,<p>Spacious duffel bag with separate shoe compartment. Water-resistant base protects gear from wet surfaces.</p>,Velocity,Bags,"accessories, bags, duffel, gym",TRUE,Color,Black,,,,,VL-DUF-001-BK,450,,20,deny,manual,68.00,85.00,TRUE,TRUE,,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,1,Black gym duffel bag,FALSE,,,,,,,new,,,,,,,,g,,17.00,active
gym-duffel,,,,,,,,Navy,,,,,VL-DUF-001-NV,450,,15,deny,manual,68.00,85.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,17.00,active
beanie,Ribbed Cuff Beanie,<p>Classic ribbed beanie with fold-over cuff. Soft acrylic blend keeps you warm in cold weather.</p>,Street Collective,Beanies,"accessories, beanies, headwear, winter",TRUE,Color,Black,,,,,SC-BNE-001-BK,80,,45,deny,manual,28.00,35.00,TRUE,TRUE,,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,1,Black ribbed beanie,FALSE,,,,,,,new,,,,,,,,g,,7.00,active
beanie,,,,,,,,Grey,,,,,SC-BNE-001-GR,80,,40,deny,manual,28.00,35.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,7.00,active
beanie,,,,,,,,Burgundy,,,,,SC-BNE-001-BG,80,,30,deny,manual,28.00,35.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,7.00,active
crew-socks-pack,Athletic Crew Socks 3-Pack,<p>Pack of 3 cushioned crew socks. Arch support and moisture-wicking fabric for all-day comfort.</p>,Velocity,Socks,"accessories, socks, athletic, essentials",TRUE,Size,S/M,,,,,VL-SCK-001-SM,120,,35,deny,manual,24.00,30.00,TRUE,TRUE,,https://images.unsplash.com/photo-1586350977771-b3b0abd50c82?w=800,1,Athletic crew socks pack,FALSE,,,,,,,new,,,,,,,,g,,6.00,active
crew-socks-pack,,,,,,,,L/XL,,,,,VL-SCK-001-LXL,120,,40,deny,manual,24.00,30.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,6.00,active
windbreaker,Lightweight Windbreaker,<p>Packable windbreaker with hood. Water-resistant and breathable for unpredictable weather.</p>,Street Collective,Jackets,"streetwear, jackets, windbreaker, layering",TRUE,Size,M,,,,,SC-WND-001-M,250,,15,deny,manual,88.00,110.00,TRUE,TRUE,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,1,Lightweight windbreaker,FALSE,,,,,,,new,,,,,,,,g,,22.00,active
windbreaker,,,,,,,,L,,,,,SC-WND-001-L,250,,18,deny,manual,88.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
windbreaker,,,,,,,,XL,,,,,SC-WND-001-XL,250,,12,deny,manual,88.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
sweatpants,Essential Sweatpants,<p>Relaxed fit sweatpants in heavyweight fleece. Perfect for lounging or casual streetwear looks. 400 GSM fleece.</p>,Street Collective,Pants,"streetwear, pants, sweatpants, essentials",TRUE,Size,M,,,,,SC-SWP-001-M,480,,18,deny,manual,75.00,94.00,TRUE,TRUE,,https://images.unsplash.com/photo-1552902875-9ac1f9fe0c07?w=800,1,Essential sweatpants,FALSE,,,,,,,new,,,,,,,,g,,18.75,active
sweatpants,,,,,,,,L,,,,,SC-SWP-001-L,480,,22,deny,manual,75.00,94.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,18.75,active
sweatpants,,,,,,,,XL,,,,,SC-SWP-001-XL,480,,15,deny,manual,75.00,94.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,18.75,active
sports-water-bottle,Insulated Sports Bottle,<p>Double-wall insulated water bottle that keeps drinks cold for 24 hours. Leak-proof lid with flip-top spout. 750ml capacity.</p>,Velocity,Accessories,"accessories, bottles, hydration, sports",TRUE,Color,Black,,,,,VL-BTL-001-BK,350,,40,deny,manual,32.00,40.00,TRUE,TRUE,,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800,1,Insulated sports water bottle,FALSE,,,,,,,new,,,,,,,,g,,8.00,active
sports-water-bottle,,,,,,,,White,,,,,VL-BTL-001-WH,350,,35,deny,manual,32.00,40.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,8.00,active
